method,perturbation,stage,objective_idx,status,obj_value,elapsed_s
MILP,0,layer0_lb,40,optimal,1.123038219525129,0.0
MILP,0,layer0_lb,41,optimal,-0.09912307548353039,0.0033693313598632812
MILP,0,layer0_lb,42,optimal,1.7651247017840832,0.0009765625
MILP,0,layer0_lb,43,optimal,2.2933795381503126,0.0007929801940917969
MILP,0,layer0_lb,44,optimal,0.7723717384250649,0.0016283988952636719
MILP,0,layer0_lb,45,optimal,-0.41549206565018504,0.000997304916381836
MILP,0,layer0_lb,46,optimal,-1.399620010180084,0.0010035037994384766
MILP,0,layer0_lb,47,optimal,0.12532248278758584,0.002668619155883789
MILP,0,layer0_lb,48,optimal,1.486200883905011,0.0
MILP,0,layer0_lb,49,optimal,-1.5492448140655597,0.0019998550415039062
MILP,0,layer0_lb,50,optimal,0.7867891456085558,0.0017347335815429688
MILP,0,layer0_lb,51,optimal,2.3485350113538637,0.0011081695556640625
MILP,0,layer0_lb,52,optimal,-0.3977016864723881,0.0008893013000488281
MILP,0,layer0_lb,53,optimal,0.21027638413944785,0.0
MILP,0,layer0_lb,54,optimal,0.7110729287883265,0.00486445426940918
MILP,0,layer0_lb,55,optimal,2.2188561048430833,0.0010037422180175781
MILP,0,layer0_lb,56,optimal,1.6383571825331091,0.001058816909790039
MILP,0,layer0_lb,57,optimal,-0.4432955468296967,0.003943443298339844
MILP,0,layer0_lb,58,optimal,3.029647846092303,0.0010159015655517578
MILP,0,layer0_lb,59,optimal,-2.013372828810603,0.0010161399841308594
MILP,0,layer0_lb,60,optimal,0.9643673966267923,0.0
MILP,0,layer0_lb,61,optimal,1.9208672104046935,0.003502368927001953
MILP,0,layer0_lb,62,optimal,-0.5419322360248133,0.0010268688201904297
MILP,0,layer0_lb,63,optimal,-0.09972063476352463,0.0010037422180175781
MILP,0,layer0_lb,64,optimal,-1.0875307742955846,0.0026662349700927734
MILP,0,layer0_lb,65,optimal,-0.7252857050259316,0.001008749008178711
MILP,0,layer0_lb,66,optimal,1.688451749757419,0.0010116100311279297
MILP,0,layer0_lb,67,optimal,3.0505168616609124,0.0
MILP,0,layer0_lb,68,optimal,2.6793697614857805,0.004464864730834961
MILP,0,layer0_lb,69,optimal,-1.3035446202041878,0.0012259483337402344
MILP,0,layer0_lb,70,optimal,0.6784272029009397,0.001375436782836914
MILP,0,layer0_lb,71,optimal,-1.1934480569859893,0.0
MILP,0,layer0_lb,72,optimal,-1.7194170854849284,0.0020046234130859375
MILP,0,layer0_lb,73,optimal,0.81961049021436,0.0018665790557861328
MILP,0,layer0_lb,74,optimal,-1.5959887022534227,0.002019166946411133
MILP,0,layer0_lb,75,optimal,-1.1758946450067407,0.0010013580322265625
MILP,0,layer0_lb,76,optimal,0.696198299372464,0.0011582374572753906
MILP,0,layer0_lb,77,optimal,-2.166566280438167,0.001863718032836914
MILP,0,layer0_lb,78,optimal,3.1375287329261123,0.0009667873382568359
MILP,0,layer0_lb,79,optimal,0.6728714131358384,0.0005247592926025391
MILP,0,layer0_lb,80,optimal,-2.3898647271626783,0.0008399486541748047
MILP,0,layer0_lb,81,optimal,1.3723724812244678,0.0006349086761474609
MILP,0,layer0_lb,82,optimal,-0.36609169400304115,0.0020301342010498047
MILP,0,layer0_lb,83,optimal,1.037922613940478,0.0020415782928466797
MILP,0,layer0_lb,84,optimal,1.5401444721559443,0.0010285377502441406
MILP,0,layer0_lb,85,optimal,-0.26714241226997815,0.0013384819030761719
MILP,0,layer0_lb,86,optimal,1.91287035400361,0.0009839534759521484
MILP,0,layer0_lb,87,optimal,0.14290207587099774,0.0010004043579101562
MILP,0,layer0_lb,88,optimal,0.4781789382701582,0.0010066032409667969
MILP,0,layer0_lb,89,optimal,-0.5112448536313519,0.001584768295288086
MILP,0,layer0_lb,90,optimal,0.07323521649454884,0.0010302066802978516
MILP,0,layer0_lb,91,optimal,-0.7440295685078491,0.0026159286499023438
MILP,0,layer0_lb,92,optimal,0.8001324205348797,0.0009710788726806641
MILP,0,layer0_lb,93,optimal,1.3071085672211114,0.0009849071502685547
MILP,0,layer0_lb,94,optimal,-1.209410130816944,0.0
MILP,0,layer0_lb,95,optimal,0.02467094754958039,0.0038611888885498047
MILP,0,layer0_lb,96,optimal,-1.1807984943175254,0.001986980438232422
MILP,0,layer0_lb,97,optimal,-0.7902703966140827,0.0012776851654052734
MILP,0,layer0_lb,98,optimal,0.9645529971165672,0.0011200904846191406
MILP,0,layer0_lb,99,optimal,1.2854338947196484,0.0010466575622558594
MILP,0,layer0_lb,100,optimal,-0.0064042882028436665,0.0
MILP,0,layer0_lb,101,optimal,-1.6702117402517045,0.00043463706970214844
MILP,0,layer0_lb,102,optimal,0.7103280789523545,0.0017485618591308594
MILP,0,layer0_lb,103,optimal,-0.48746151638713847,0.0014531612396240234
MILP,0,layer0_lb,104,optimal,2.3588283152752116,0.002664327621459961
MILP,0,layer0_lb,105,optimal,-0.07670220059736926,0.001978158950805664
MILP,0,layer0_lb,106,optimal,-0.1495991578379371,0.001020669937133789
MILP,0,layer0_lb,107,optimal,1.739348952859278,0.0
MILP,0,layer0_lb,108,optimal,1.3650849177454019,0.0038361549377441406
MILP,0,layer0_lb,109,optimal,-1.9043276428078024,0.0009715557098388672
MILP,0,layer0_lb,110,optimal,-0.7141277946586208,0.0015599727630615234
MILP,0,layer0_lb,111,optimal,1.7005175933939964,0.0021295547485351562
MILP,0,layer0_lb,112,optimal,-0.6109734955015972,0.0009987354278564453
MILP,0,layer0_lb,113,optimal,0.6554041015227234,0.0009813308715820312
MILP,0,layer0_lb,114,optimal,-1.021050670334581,0.0
MILP,0,layer0_lb,115,optimal,0.621807640734399,0.003984689712524414
MILP,0,layer0_lb,116,optimal,-0.3147514008858245,0.0019698143005371094
MILP,0,layer0_lb,117,optimal,-0.8407587428741661,0.0010023117065429688
MILP,0,layer0_lb,118,optimal,0.9689001730696597,0.001405954360961914
MILP,0,layer0_lb,119,optimal,1.7815253029391507,0.0009953975677490234
MILP,0,layer0_lb,120,optimal,0.858278179068074,0.0010123252868652344
MILP,0,layer0_lb,121,optimal,-1.1282957417572186,0.0
MILP,0,layer0_lb,122,optimal,2.29990415930824,0.003055572509765625
MILP,0,layer0_lb,123,optimal,-2.867570104554706,0.0009698867797851562
MILP,0,layer0_lb,124,optimal,0.0069648462624417595,0.0014545917510986328
MILP,0,layer0_lb,125,optimal,0.7834037812528857,0.0012869834899902344
MILP,0,layer0_lb,126,optimal,-1.880186623362747,0.0016834735870361328
MILP,0,layer0_lb,127,optimal,1.9294211779972112,0.0005698204040527344
MILP,0,layer0_ub,0,optimal,-0.0143491226357614,0.001108407974243164
MILP,0,layer0_ub,1,optimal,1.2901164692007467,0.0012450218200683594
MILP,0,layer0_ub,2,optimal,0.2970900641088352,0.00113677978515625
MILP,0,layer0_ub,3,optimal,2.6229784568787347,0.001998424530029297
MILP,0,layer0_ub,4,optimal,0.11525837803713523,0.002115964889526367
MILP,0,layer0_ub,5,optimal,1.3788711012630586,0.0010192394256591797
MILP,0,layer0_ub,6,optimal,0.4966539294092178,0.0
MILP,0,layer0_ub,7,optimal,-0.6572581724768067,0.0033485889434814453
MILP,0,layer0_ub,8,optimal,0.4695992692889919,0.0010001659393310547
MILP,0,layer0_ub,9,optimal,-0.20010882296941224,0.0010027885437011719
MILP,0,layer0_ub,10,optimal,2.2838018871330914,0.0010628700256347656
MILP,0,layer0_ub,11,optimal,-1.0518215238812239,0.0009992122650146484
MILP,0,layer0_ub,12,optimal,-0.07194460749749287,0.0006875991821289062
MILP,0,layer0_ub,13,optimal,1.0157509979427055,0.0009813308715820312
MILP,0,layer0_ub,14,optimal,-2.3695233064474155,0.0009665489196777344
MILP,0,layer0_ub,15,optimal,-1.8766343102923244,0.0
MILP,0,layer0_ub,16,optimal,3.4936324442839677,0.0010068416595458984
MILP,0,layer0_ub,17,optimal,-1.6709314811012712,0.001066446304321289
MILP,0,layer0_ub,18,optimal,-1.0756764858153298,0.0010192394256591797
MILP,0,layer0_ub,19,optimal,2.5742139316892585,0.001615762710571289
MILP,0,layer0_ub,20,optimal,1.0041113095789471,0.000972747802734375
MILP,0,layer0_ub,21,optimal,0.855252998357185,0.0
MILP,0,layer0_ub,22,optimal,-0.4256669246470164,0.0
MILP,0,layer0_ub,23,optimal,0.21361748351260895,0.001295328140258789
MILP,0,layer0_ub,24,optimal,1.3039234524822632,0.0010001659393310547
MILP,0,layer0_ub,25,optimal,1.0194027304244095,0.0
MILP,0,layer0_ub,26,optimal,-0.39489353083229306,0.0039463043212890625
MILP,0,layer0_ub,27,optimal,0.9173942504542707,0.0009789466857910156
MILP,0,layer0_ub,28,optimal,-0.8004586809176899,0.0009856224060058594
MILP,0,layer0_ub,29,optimal,-0.053094599905806394,0.0
MILP,0,layer0_ub,30,optimal,0.15860740648541188,0.0010061264038085938
MILP,0,layer0_ub,31,optimal,1.0657910833256428,0.0007226467132568359
